MaChiNhanh,MaKhuVuc,QuanLyChiNhanh,TenChiNhanh,DiaChi,ThoiGianMoCua,ThoiGianDongCua,SoDienThoaiChiNhanh,CoBaiDoXeMay,CoBaiDoOto
1,1,13,SushiX Hà Nội 1,"863 Đặng Đường JaneXã, 191461",09:00:00,22:00:00,(03)844-3974,1,0
2,2,72,SushiX TP.HCM 2,"461 Đặng Số Thành phố JohnXã, 365218",09:00:00,22:00:00,+84 60 0798254,0,0
3,5,217,SushiX Cần Thơ 3,"68 Lê Dãy JaneThị xã, 829622",09:00:00,22:00:00,+84-14-178 8292,0,0
4,1,112,SushiX Hà Nội 4,"248 John Dãy JohnXã, 765285",09:00:00,22:00:00,+84-71-885 0219,0,0
5,5,102,SushiX Cần Thơ 5,"28 Mai Tổ Huyện JaneThị xã, 925862",09:00:00,22:00:00,+84-86-532211,1,0
6,4,143,SushiX Hải Phòng 6,"045 Jane Tổ Huyện JohnXã, 813066",09:00:00,22:00:00,+84-10-794 3831,0,0
7,4,175,SushiX Hải Phòng 7,"43 Đặng Dãy JohnPhường, 577159",09:00:00,22:00:00,06 4942936,1,0
8,2,173,SushiX TP.HCM 8,"00 John Dãy JaneThị xã, 330911",09:00:00,22:00:00,08 2130637,0,0
9,4,50,SushiX Hải Phòng 9,"077 Hoàng Đường JaneQuận, 891535",09:00:00,22:00:00,(03) 6866 0484,1,1
10,5,136,SushiX Cần Thơ 10,"143 John Đường Thành phố JanePhường, 683481",09:00:00,22:00:00,06 9902 6645,0,1
11,5,64,SushiX Cần Thơ 11,"986 Hoàng Đường JaneThị xã, 995905",09:00:00,22:00:00,04 9127816,1,0
12,5,151,SushiX Cần Thơ 12,"77 Dương Khu Thị xã JaneHuyện, 354819",09:00:00,22:00:00,01 9198 3766,1,0
13,1,24,SushiX Hà Nội 13,"55 Bùi Đường JohnThị xã, 600675",09:00:00,22:00:00,(03)325-4989,0,1
14,1,120,SushiX Hà Nội 14,"14 John Tổ Thành phố JohnQuận, 523288",09:00:00,22:00:00,(07)399-0063,0,1
15,3,233,SushiX Đà Nẵng 15,"584 Đặng Số JohnHuyện, 518056",09:00:00,22:00:00,+84-15-653958,1,0
