MaHoaDon,DiemPhucVu,DiemViTri,DiemChatLuongMonAn,DiemGiaCa,DiemKhongGian,BinhLuan
65413,9,6,4,4,5,Dịch vụ kém!
135296,3,4,9,7,10,Không gian đẹp!
132068,9,10,9,2,1,Dịch vụ tuyệt vời!
34478,0,0,1,2,9,Không gian chật chội!
122608,9,0,4,7,9,Không hài lòng!
5246,5,1,4,8,0,Không hài lòng!
84498,9,8,10,2,1,Rất hài lòng!
110517,0,0,0,2,9,Không ngon!
104667,4,5,10,0,5,Không ngon!
4116,3,5,4,7,4,Không hài lòng!
8210,1,7,10,6,3,Giá quá đắt!
82067,7,5,8,7,0,Không ngon!
129686,0,6,10,2,3,Không ngon!
10903,8,0,1,4,2,Dịch vụ kém!
148348,10,5,2,0,7,Không hài lòng!
51354,5,4,9,5,4,Không hài lòng!
9236,9,7,6,1,1,Không hài lòng!
73428,6,10,0,5,3,Giá quá đắt!
63460,0,3,4,6,1,Không hài lòng!
83287,0,7,1,4,9,Không ngon!
133382,6,2,7,3,9,Không hài lòng!
59218,10,5,9,0,1,Không gian chật chội!
104653,8,4,7,6,2,Không hài lòng!
70705,5,2,2,2,9,Không hài lòng!
105466,3,1,7,6,7,Giá quá đắt!
84614,10,1,9,9,8,Giá cả hợp lý!
92302,8,10,7,5,9,Không gian đẹp!
114182,7,7,0,10,2,Dịch vụ kém!
57273,5,0,5,8,2,Dịch vụ kém!
8910,6,8,6,3,5,Không hài lòng!
71955,2,3,5,3,8,Không gian chật chội!
26935,7,7,6,3,0,Không hài lòng!
85249,4,9,1,4,9,Giá quá đắt!
18132,5,10,9,0,10,Giá cả hợp lý!
121336,8,0,2,7,8,Không ngon!
74814,0,10,6,1,8,Giá quá đắt!
13538,9,5,8,1,6,Dịch vụ kém!
139803,2,4,2,3,10,Giá quá đắt!
95047,1,4,6,10,9,Rất hài lòng!
131980,9,3,9,10,8,Dịch vụ tuyệt vời!
137636,6,7,1,4,2,Không gian chật chội!
55123,0,1,5,10,9,Không hài lòng!
146605,8,1,0,0,0,Giá quá đắt!
88142,5,1,10,0,8,Không ngon!
59809,2,9,5,1,0,Không ngon!
83906,1,5,4,10,9,Không ngon!
13261,6,9,1,5,10,Giá cả hợp lý!
22063,4,10,8,1,5,Giá quá đắt!
3555,6,3,0,8,5,Không gian chật chội!
23581,8,0,8,6,0,Không hài lòng!
27801,5,0,6,8,5,Giá quá đắt!
101444,5,10,10,9,1,Dịch vụ tuyệt vời!
44323,8,4,8,2,8,Không gian đẹp!
104179,10,0,4,0,5,Dịch vụ kém!
108563,0,0,0,8,4,Không ngon!
95233,2,1,9,0,0,Không gian chật chội!
129441,10,8,7,7,3,Rất hài lòng!
94376,10,3,10,8,8,Dịch vụ tuyệt vời!
142517,4,4,8,8,2,Không hài lòng!
97634,9,4,6,2,1,Dịch vụ kém!
32467,3,5,8,8,8,Rất hài lòng!
96129,0,9,6,4,1,Không hài lòng!
36300,7,0,5,7,4,Không ngon!
50409,6,7,1,5,8,Giá quá đắt!
4813,4,6,8,10,5,Dịch vụ tuyệt vời!
6999,5,4,3,2,9,Giá quá đắt!
141330,3,0,2,7,8,Không ngon!
143308,7,2,7,3,9,Không ngon!
74971,7,2,1,2,6,Không hài lòng!
81100,5,0,7,3,10,Không ngon!
94221,7,0,5,4,4,Không ngon!
73364,4,2,3,9,5,Không gian chật chội!
63341,9,6,0,3,2,Giá quá đắt!
108896,2,9,1,5,7,Không gian chật chội!
52060,10,2,10,9,5,Dịch vụ tuyệt vời!
6882,4,10,10,7,1,Dịch vụ tuyệt vời!
56724,0,2,10,1,5,Giá quá đắt!
108419,6,7,9,1,4,Không gian chật chội!
49837,4,7,8,9,8,"Ngon, sẽ quay lại!"
95459,10,3,10,7,5,Không gian đẹp!
1891,6,3,9,8,2,Không hài lòng!
121203,8,4,3,8,1,Không hài lòng!
118099,8,1,6,10,5,Giá cả hợp lý!
35988,6,8,3,4,10,"Ngon, sẽ quay lại!"
90547,10,6,0,7,3,Không ngon!
126470,10,5,1,9,7,Giá cả hợp lý!
116889,8,10,5,3,7,Giá cả hợp lý!
75894,10,5,3,8,4,Rất hài lòng!
25916,2,10,1,5,1,Không gian chật chội!
58004,7,7,3,7,7,Giá cả hợp lý!
32867,6,9,8,10,2,"Ngon, sẽ quay lại!"
42201,9,7,5,6,9,Rất hài lòng!
58529,6,0,3,3,0,Không hài lòng!
28596,0,9,2,1,10,Giá quá đắt!
126608,10,6,5,6,3,Rất hài lòng!
58589,5,4,7,0,7,Không gian chật chội!
116755,8,9,5,5,10,Không gian đẹp!
2730,9,10,0,4,4,Giá quá đắt!
67471,2,5,8,9,3,Không ngon!
53108,6,2,4,0,0,Giá quá đắt!
84099,0,3,4,8,0,Giá quá đắt!
9256,9,9,7,4,4,Không gian đẹp!
43975,10,3,2,1,1,Không hài lòng!
87968,4,5,6,2,4,Giá quá đắt!
51415,7,1,0,5,3,Dịch vụ kém!
38831,7,2,10,1,2,Không ngon!
71306,1,7,0,7,8,Dịch vụ kém!
34307,2,1,10,7,4,Dịch vụ kém!
