MaDatBan,MaKhachHang,MaChiNhanh,STTBan,NgayDat,GioDen,SoLuongKhach,GhiChu
1,15528,1,3,2023-07-16,2023-07-16 13:54:00,8,Ghi chú...
2,50230,12,7,2023-05-15,2023-05-15 20:47:00,10,Ghi chú...
3,97431,11,19,2023-11-21,2023-11-21 12:29:00,7,Ghi chú...
4,48894,12,9,2023-07-11,2023-07-11 17:25:00,8,Ghi chú...
5,70957,4,18,2023-02-02,2023-02-02 11:46:00,2,Ghi chú...
6,98198,9,4,2023-01-29,2023-01-29 14:53:00,3,Ghi chú...
7,9758,13,19,2023-01-23,2023-01-23 18:04:00,7,Ghi chú...
8,64506,14,11,2023-05-17,2023-05-17 19:29:00,3,Ghi chú...
9,55936,9,8,2023-08-17,2023-08-17 20:42:00,5,Ghi chú...
10,143,8,19,2023-04-01,2023-04-01 18:56:00,9,Ghi chú...
11,55823,4,10,2023-08-30,2023-08-30 18:40:00,4,Ghi chú...
12,66268,12,13,2023-09-01,2023-09-01 12:31:00,7,Ghi chú...
13,18187,7,14,2023-07-21,2023-07-21 18:05:00,10,Ghi chú...
14,88761,8,5,2023-04-28,2023-04-28 13:27:00,6,Ghi chú...
15,81280,14,13,2023-01-08,2023-01-08 16:02:00,7,Ghi chú...
16,16049,14,10,2023-05-30,2023-05-30 16:56:00,5,Ghi chú...
17,70870,12,16,2023-08-07,2023-08-07 14:05:00,5,Ghi chú...
18,99059,4,9,2023-06-02,2023-06-02 17:58:00,7,Ghi chú...
19,2003,13,14,2023-07-13,2023-07-13 11:26:00,3,Ghi chú...
20,32992,15,7,2023-01-18,2023-01-18 20:40:00,6,Ghi chú...
21,7024,8,1,2023-09-19,2023-09-19 19:50:00,4,Ghi chú...
22,56799,10,18,2023-02-06,2023-02-06 14:40:00,4,Ghi chú...
23,69640,12,17,2023-10-29,2023-10-29 19:10:00,3,Ghi chú...
24,83300,5,1,2023-10-12,2023-10-12 12:50:00,7,Ghi chú...
25,47620,2,2,2023-08-08,2023-08-08 17:44:00,3,Ghi chú...
26,49643,1,16,2023-07-08,2023-07-08 20:44:00,5,Ghi chú...
27,66405,10,13,2023-09-07,2023-09-07 15:36:00,10,Ghi chú...
28,42366,1,19,2023-03-04,2023-03-04 14:27:00,7,Ghi chú...
29,97677,10,12,2023-08-17,2023-08-17 20:10:00,9,Ghi chú...
30,92951,5,20,2023-08-31,2023-08-31 21:28:00,7,Ghi chú...
31,18546,15,6,2023-06-28,2023-06-28 16:28:00,8,Ghi chú...
32,6636,12,1,2023-09-27,2023-09-27 11:06:00,6,Ghi chú...
33,17751,7,2,2023-04-02,2023-04-02 10:57:00,5,Ghi chú...
34,8436,5,2,2023-02-01,2023-02-01 11:31:00,3,Ghi chú...
35,4847,4,15,2023-08-30,2023-08-30 13:33:00,2,Ghi chú...
36,63045,9,14,2023-05-20,2023-05-20 11:31:00,4,Ghi chú...
37,28942,4,15,2023-09-28,2023-09-28 20:49:00,4,Ghi chú...
38,78483,7,3,2023-07-30,2023-07-30 13:26:00,7,Ghi chú...
39,20176,8,15,2023-08-28,2023-08-28 12:49:00,4,Ghi chú...
40,38854,4,15,2023-11-08,2023-11-08 19:41:00,5,Ghi chú...
41,47631,4,14,2023-03-03,2023-03-03 18:20:00,5,Ghi chú...
42,41849,7,12,2023-02-24,2023-02-24 21:47:00,8,Ghi chú...
43,31278,4,2,2023-12-20,2023-12-20 19:13:00,2,Ghi chú...
44,45786,12,11,2023-03-25,2023-03-25 11:46:00,4,Ghi chú...
45,93726,15,8,2023-01-02,2023-01-02 20:44:00,8,Ghi chú...
46,50472,10,18,2023-09-15,2023-09-15 14:18:00,2,Ghi chú...
