MaKhachHang,ThoiDiemTruyCap,ThoiGianTruyCap
92014,2023-04-06 12:29:00,2988
7262,2023-06-15 23:51:00,2769
8097,2023-04-09 16:42:00,1121
21404,2023-09-29 23:19:00,1360
1235,2023-07-27 10:24:00,2768
22381,2023-05-03 05:07:00,807
60414,2023-06-20 11:33:00,1435
26031,2023-07-09 19:28:00,2063
32131,2023-11-30 12:59:00,1381
14602,2023-08-20 09:41:00,681
74126,2023-07-28 17:25:00,976
41537,2023-05-22 00:11:00,2492
44865,2023-10-06 12:13:00,1588
24410,2023-10-20 08:34:00,2695
43623,2023-08-07 04:32:00,1259
16516,2023-08-05 00:38:00,3503
16832,2023-05-25 11:38:00,29
13046,2023-05-09 10:02:00,5
60558,2023-03-25 17:57:00,2492
57738,2023-12-20 07:50:00,2781
47418,2023-11-30 19:39:00,2049
80542,2023-05-09 14:38:00,2412
54181,2023-07-17 18:27:00,1422
62410,2023-10-20 23:38:00,285
54011,2023-03-07 01:50:00,2796
14214,2023-04-10 15:02:00,1380
88610,2023-12-23 14:56:00,850
42149,2023-09-01 06:22:00,1820
76555,2023-08-03 19:45:00,2308
1277,2023-12-26 08:07:00,3470
79667,2023-02-25 12:10:00,395
10406,2023-04-14 23:53:00,2328
15201,2023-12-24 05:09:00,711
11040,2023-10-23 04:12:00,2122
42468,2023-01-24 19:00:00,3079
87451,2023-01-03 19:57:00,1049
49072,2023-03-19 16:52:00,786
6433,2023-06-07 23:47:00,3548
57985,2023-06-17 00:51:00,672
49266,2023-06-12 22:22:00,1424
59821,2023-05-17 20:33:00,1240
25941,2023-12-11 03:25:00,660
76292,2023-08-24 21:25:00,1519
25667,2023-10-28 18:39:00,2365
29684,2023-01-01 06:01:00,575
10502,2023-07-22 04:11:00,2335
17032,2023-10-24 03:02:00,3550
51999,2023-10-29 20:39:00,1167
25778,2023-08-01 22:21:00,3186
62167,2023-12-13 00:22:00,1613
1042,2023-04-21 19:42:00,2407
38673,2023-02-13 05:53:00,2884
71707,2023-03-30 20:15:00,70
68587,2023-07-06 16:26:00,3570
90573,2023-06-07 15:46:00,1594
59582,2023-08-28 02:00:00,817
36885,2023-03-09 14:11:00,1969
35590,2023-07-03 17:50:00,3153
34631,2023-11-11 08:19:00,1118
67672,2023-08-18 19:23:00,2716
17660,2023-11-12 01:18:00,1544
36035,2023-09-27 10:43:00,1376
98548,2023-01-15 17:38:00,1454
32304,2023-12-19 14:20:00,2630
48605,2023-01-21 03:47:00,741
22831,2023-05-27 23:25:00,2848
25285,2023-11-20 09:46:00,1128
91833,2023-10-23 11:14:00,1796
94932,2023-08-09 15:28:00,2412
28509,2023-01-01 23:58:00,349
99627,2023-01-04 06:34:00,3007
80409,2023-12-11 17:03:00,1124
57029,2023-03-31 14:17:00,2926
40162,2023-08-31 15:51:00,2402
40919,2023-07-13 11:51:00,1073
32823,2023-06-01 06:05:00,28
76323,2023-08-20 07:00:00,3592
8623,2023-07-20 19:00:00,928
15450,2023-11-20 05:17:00,2702
10965,2023-06-15 16:56:00,1455
77003,2023-10-26 02:27:00,1229
47888,2023-05-27 14:11:00,1493
52693,2023-12-26 14:56:00,366
99443,2023-06-12 14:51:00,185
43007,2023-07-26 20:22:00,3349
52731,2023-04-13 10:23:00,2251
96405,2023-01-20 10:13:00,2953
20175,2023-10-28 21:35:00,409
93208,2023-03-02 14:32:00,743
19469,2023-01-09 00:30:00,2553
42670,2023-08-21 00:29:00,3492
74268,2023-09-02 16:41:00,571
80186,2023-11-28 20:00:00,2309
2314,2023-12-18 11:10:00,1047
34980,2023-11-04 22:25:00,1028
28690,2023-06-16 18:37:00,3228
70353,2023-10-23 23:30:00,3464
76129,2023-03-28 10:36:00,1501
70299,2023-01-30 12:29:00,2616
94777,2023-08-13 09:44:00,1895
35413,2023-01-15 01:12:00,904
83561,2023-10-20 16:00:00,942
14194,2023-08-10 08:40:00,2717
71685,2023-03-09 00:23:00,2848
34020,2023-09-14 23:07:00,663
10434,2023-05-29 18:49:00,143
11039,2023-06-20 19:13:00,210
9402,2023-09-09 22:03:00,1451
72271,2023-11-06 22:36:00,1768
12510,2023-12-06 05:46:00,989
43812,2023-07-19 17:35:00,1171
85748,2023-06-23 19:48:00,3090
38209,2023-07-15 11:35:00,246
66501,2023-01-08 18:48:00,1001
66317,2023-12-23 11:11:00,86
51570,2023-02-11 22:29:00,2176
49168,2023-11-21 20:30:00,2149
68818,2023-06-17 06:46:00,2120
67994,2023-03-07 09:52:00,2415
88942,2023-02-19 18:07:00,3040
85168,2023-03-30 08:06:00,2994
19472,2023-07-12 19:44:00,2611
50821,2023-09-25 21:21:00,272
78121,2023-05-24 09:00:00,1841
86452,2023-02-07 17:50:00,1468
83757,2023-09-22 08:37:00,1665
73267,2023-05-21 00:30:00,2494
89315,2023-12-06 07:23:00,2294
28917,2023-03-26 05:25:00,421
5476,2023-08-06 16:12:00,1891
50466,2023-08-16 05:13:00,1544
72983,2023-11-07 16:07:00,1520
5116,2023-11-14 21:48:00,2550
83196,2023-07-20 17:07:00,13
86291,2023-06-27 16:42:00,2059
33674,2023-01-22 23:15:00,2812
10902,2023-10-08 20:24:00,1993
23779,2023-02-20 02:56:00,1254
49865,2023-03-16 06:06:00,2075
57855,2023-05-05 18:49:00,495
97894,2023-12-24 02:22:00,2599
34530,2023-09-07 12:36:00,2589
33892,2023-04-29 19:01:00,246
7610,2023-07-20 06:34:00,1732
52527,2023-01-28 19:05:00,1454
13860,2023-11-07 14:11:00,2709
42050,2023-11-13 13:32:00,2344
758,2023-03-25 14:01:00,3091
55988,2023-01-12 16:01:00,1507
92849,2023-12-21 06:21:00,1047
81165,2023-09-02 16:30:00,1098
69504,2023-09-29 15:22:00,2136
79826,2023-09-21 05:45:00,3123
87580,2023-05-13 13:31:00,2810
6816,2023-01-28 13:55:00,1986
40949,2023-09-07 01:18:00,3489
44707,2023-05-21 09:20:00,3587
91728,2023-06-21 05:04:00,1813
12060,2023-03-09 13:08:00,1484
9547,2023-03-18 05:49:00,2340
34337,2023-07-11 18:26:00,2927
22237,2023-02-05 15:17:00,2119
13451,2023-04-19 14:39:00,2510
23003,2023-01-08 06:45:00,3419
96315,2023-09-11 22:03:00,1338
32370,2023-05-10 13:07:00,589
85992,2023-12-06 23:49:00,38
42590,2023-02-12 10:21:00,1171
94369,2023-07-20 10:19:00,1236
20706,2023-01-05 09:41:00,1159
83573,2023-05-03 03:20:00,1768
62312,2023-02-25 00:20:00,387
50230,2023-10-18 01:33:00,1207
46527,2023-05-17 23:05:00,3349
91986,2023-11-30 08:17:00,2221
2012,2023-10-07 06:36:00,2550
93289,2023-08-29 07:42:00,2004
96018,2023-09-04 11:23:00,1028
77758,2023-08-09 14:04:00,1314
30582,2023-11-20 06:23:00,526
64532,2023-02-02 16:41:00,1421
94082,2023-03-23 05:52:00,3122
9890,2023-05-24 06:22:00,1897
11948,2023-03-23 05:39:00,1593
18333,2023-03-15 22:19:00,2136
25927,2023-12-07 10:57:00,3181
22498,2023-06-21 20:40:00,3443
41746,2023-05-05 05:18:00,941
98529,2023-10-22 09:59:00,2942
2520,2023-08-30 11:08:00,1036
50618,2023-08-25 08:39:00,1864
22730,2023-12-15 22:27:00,566
49503,2023-04-12 22:51:00,3234
21250,2023-07-27 10:01:00,2579
61430,2023-04-17 12:32:00,3064
35151,2023-11-27 11:39:00,2858
3120,2023-12-03 04:16:00,3034
23084,2023-10-15 01:09:00,1272
