MaSoThe,MaKhachHang,NgayLap,LoaiThe,TinhTrangThe,DiemTichLuy
1,17229,2023-03-25,Member,Active,0
2,15400,2023-07-14,Member,Active,0
3,64503,2023-06-03,Member,Active,0
4,32180,2023-02-27,Member,Active,0
5,73753,2023-07-10,Member,Active,0
6,53040,2023-03-08,Member,Active,0
7,1766,2023-08-18,Member,Active,0
8,617,2023-11-21,Member,Active,0
9,71073,2023-03-24,Member,Active,0
10,37665,2023-10-29,Member,Active,0
11,68538,2023-09-28,Member,Active,0
12,14629,2023-02-22,Member,Active,0
13,43523,2023-08-13,Member,Active,0
14,25318,2023-07-04,Member,Active,0
15,66797,2023-09-19,Member,Active,0
16,46018,2023-10-09,Member,Active,0
17,57962,2023-02-13,Member,Active,0
18,17832,2023-08-23,Member,Active,0
19,99446,2023-10-04,Member,Active,0
20,96213,2023-09-11,Member,Active,0
21,90624,2023-03-21,Member,Active,0
22,75482,2023-07-29,Member,Active,0
23,86303,2023-08-15,Member,Active,0
24,33581,2023-10-18,Member,Active,0
25,41952,2023-08-24,Member,Active,0
26,24129,2023-11-07,Member,Active,0
27,76228,2023-12-26,Member,Active,0
28,27422,2023-05-13,Member,Active,0
29,47462,2023-10-23,Member,Active,0
30,45148,2023-01-22,Member,Active,0
31,52389,2023-03-23,Member,Active,0
32,36427,2023-04-19,Member,Active,0
33,86065,2023-03-12,Member,Active,0
34,35430,2023-08-09,Member,Active,0
35,50374,2023-07-12,Member,Active,0
36,62488,2023-12-29,Member,Active,0
37,53766,2023-06-04,Member,Active,0
38,86786,2023-06-14,Member,Active,0
39,64159,2023-01-27,Member,Active,0
40,39153,2023-07-26,Member,Active,0
41,98834,2023-12-21,Member,Active,0
42,70555,2023-10-16,Member,Active,0
43,70864,2023-02-03,Member,Active,0
44,75291,2023-06-27,Member,Active,0
45,65476,2023-01-10,Member,Active,0
46,11313,2023-01-10,Member,Active,0
47,32501,2023-05-15,Member,Active,0
48,73692,2023-05-03,Member,Active,0
49,61790,2023-04-03,Member,Active,0
50,23316,2023-04-02,Member,Active,0
51,61071,2023-01-25,Member,Active,0
52,63869,2023-05-11,Member,Active,0
53,22954,2023-08-30,Member,Active,0
54,65199,2023-02-19,Member,Active,0
55,74974,2023-04-04,Member,Active,0
56,65243,2023-10-18,Member,Active,0
57,80419,2023-06-14,Member,Active,0
58,52044,2023-04-26,Member,Active,0
59,88579,2023-11-15,Member,Active,0
60,93783,2023-04-19,Member,Active,0
61,14525,2023-03-06,Member,Active,0
62,84928,2023-08-04,Member,Active,0
63,92513,2023-11-01,Member,Active,0
64,42494,2023-04-09,Member,Active,0
65,53334,2023-11-18,Member,Active,0
66,87409,2023-11-09,Member,Active,0
67,86396,2023-03-17,Member,Active,0
68,29640,2023-12-20,Member,Active,0
69,99256,2023-03-12,Member,Active,0
70,96939,2023-11-09,Member,Active,0
71,69388,2023-12-29,Member,Active,0
72,53581,2023-03-18,Member,Active,0
73,1244,2023-04-30,Member,Active,0
74,81192,2023-11-03,Member,Active,0
75,54525,2023-12-01,Member,Active,0
76,57170,2023-09-03,Member,Active,0
77,17527,2023-05-07,Member,Active,0
78,50466,2023-12-22,Member,Active,0
79,46005,2023-07-14,Member,Active,0
80,44482,2023-06-28,Member,Active,0
81,36656,2023-07-07,Member,Active,0
